Country,Country.Region,animals,Taxon,Feed_tonnes_mean,sd,crop,scenario,plot_id
Albania,Europe,beef,Meat,0,0,wheat,Current,1
Australia,Australia,beef,Meat,0,0,wheat,Current,1
Austria,Europe,beef,Meat,0,0,wheat,Current,1
Belgium,Europe,beef,Meat,0,0,wheat,Current,1
Bermuda,USA,beef,Meat,0,0,wheat,Current,1
Bosnia and Herzegovina,Europe,beef,Meat,0,0,wheat,Current,1
Bulgaria,Europe,beef,Meat,0,0,wheat,Current,1
Canada,Canada,beef,Meat,0,0,wheat,Current,1
Croatia,Europe,beef,Meat,0,0,wheat,Current,1
Czechia,Europe,beef,Meat,0,0,wheat,Current,1
Denmark,Europe,beef,Meat,0,0,wheat,Current,1
Estonia,Europe,beef,Meat,0,0,wheat,Current,1
Faroe Islands,Europe,beef,Meat,0,0,wheat,Current,1
Finland,Europe,beef,Meat,0,0,wheat,Current,1
France,Europe,beef,Meat,0,0,wheat,Current,1
Germany,Europe,beef,Meat,0,0,wheat,Current,1
Greece,Europe,beef,Meat,0,0,wheat,Current,1
Greenland,Europe,beef,Meat,0,0,wheat,Current,1
Hungary,Europe,beef,Meat,0,0,wheat,Current,1
Iceland,Europe,beef,Meat,0,0,wheat,Current,1
Ireland,Europe,beef,Meat,0,0,wheat,Current,1
Italy,Europe,beef,Meat,0,0,wheat,Current,1
Latvia,Europe,beef,Meat,0,0,wheat,Current,1
Lithuania,Europe,beef,Meat,0,0,wheat,Current,1
Luxembourg,Europe,beef,Meat,0,0,wheat,Current,1
Malta,Europe,beef,Meat,0,0,wheat,Current,1
Montenegro,Europe,beef,Meat,0,0,wheat,Current,1
Netherlands,Europe,beef,Meat,0,0,wheat,Current,1
New Caledonia,Island nation,beef,Meat,0,0,wheat,Current,1
New Zealand,New Zealand,beef,Meat,0,0,wheat,Current,1
Norway,Europe,beef,Meat,0,0,wheat,Current,1
Poland,Europe,beef,Meat,0,0,wheat,Current,1
Portugal,Europe,beef,Meat,0,0,wheat,Current,1
Romania,Europe,beef,Meat,0,0,wheat,Current,1
Saint Pierre and Miquelon,Canada,beef,Meat,0,0,wheat,Current,1
Serbia,Europe,beef,Meat,0,0,wheat,Current,1
Slovakia,Europe,beef,Meat,0,0,wheat,Current,1
Slovenia,Europe,beef,Meat,0,0,wheat,Current,1
Spain,Europe,beef,Meat,0,0,wheat,Current,1
Sweden,Europe,beef,Meat,0,0,wheat,Current,1
Switzerland,Europe,beef,Meat,0,0,wheat,Current,1
The former Yugoslav Republic of Macedonia,Europe,beef,Meat,0,0,wheat,Current,1
United Kingdom,Europe,beef,Meat,0,0,wheat,Current,1
United States of America,USA,beef,Meat,0,0,wheat,Current,1
Afghanistan,Middle East,beef,Meat,0,0,wheat,Current,1
Algeria,Northern Africa,beef,Meat,0,0,wheat,Current,1
American Samoa,Island nation,beef,Meat,0,0,wheat,Current,1
Angola,Central Africa,beef,Meat,0,0,wheat,Current,1
Antigua and Barbuda,Caribbean,beef,Meat,0,0,wheat,Current,1
Argentina,South America,beef,Meat,0,0,wheat,Current,1
Armenia,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Azerbaijan,Middle East,beef,Meat,0,0,wheat,Current,1
Bahamas,Caribbean,beef,Meat,0,0,wheat,Current,1
Bahrain,Middle East,beef,Meat,0,0,wheat,Current,1
Bangladesh,Middle East,beef,Meat,0,0,wheat,Current,1
Barbados,Caribbean,beef,Meat,0,0,wheat,Current,1
Belarus,East Europe and CIS,beef,Meat,0,0,wheat,Current,1
Belize,Central America,beef,Meat,0,0,wheat,Current,1
Benin,Western Africa,beef,Meat,0,0,wheat,Current,1
Bhutan,Middle East,beef,Meat,0,0,wheat,Current,1
Bolivia (Plurinational State of),South America,beef,Meat,0,0,wheat,Current,1
Botswana,Southern Africa,beef,Meat,0,0,wheat,Current,1
