Country,Country.Region,animals,Taxon,Prod_tonnes_mean,sd,Scenario,plot_id
Albania,Europe,beef,Meat,41200,,Current,1
Australia,Australia,beef,Meat,2317766,,Current,1
Austria,Europe,beef,Meat,228903,,Current,1
Belgium,Europe,beef,Meat,249973,,Current,1
Bermuda,USA,beef,Meat,30,,Current,1
Bosnia and Herzegovina,Europe,beef,Meat,16415,,Current,1
Bulgaria,Europe,beef,Meat,19107,,Current,1
Canada,Canada,beef,Meat,1055880,,Current,1
Croatia,Europe,beef,Meat,28450,,Current,1
Czechia,Europe,beef,Meat,65322,,Current,1
Denmark,Europe,beef,Meat,128000,,Current,1
Estonia,Europe,beef,Meat,11481,,Current,1
Faroe Islands,Europe,beef,Meat,78,,Current,1
Finland,Europe,beef,Meat,81190,,Current,1
France,Europe,beef,Meat,1400400,,Current,1
Germany,Europe,beef,Meat,1106395,,Current,1
Greece,Europe,beef,Meat,76500,,Current,1
Greenland,Europe,beef,Meat,0,,Current,1
Hungary,Europe,beef,Meat,23457,,Current,1
Iceland,Europe,beef,Meat,4082,,Current,1
Ireland,Europe,beef,Meat,517580,,Current,1
Italy,Europe,beef,Meat,842122,,Current,1
Latvia,Europe,beef,Meat,16688,,Current,1
Lithuania,Europe,beef,Meat,37709,,Current,1
Luxembourg,Europe,beef,Meat,8060,,Current,1
Malta,Europe,beef,Meat,1134,,Current,1
Montenegro,Europe,beef,Meat,4600,,Current,1
Netherlands,Europe,beef,Meat,373760,,Current,1
New Caledonia,Small Island Nations,beef,Meat,3294,,Current,1
New Zealand,New Zealand,beef,Meat,563749,,Current,1
Norway,Europe,beef,Meat,83696,,Current,1
Poland,Europe,beef,Meat,386000,,Current,1
Portugal,Europe,beef,Meat,92600,,Current,1
Romania,Europe,beef,Meat,96179,,Current,1
Saint Pierre and Miquelon,Canada,beef,Meat,0,,Current,1
Serbia,Europe,beef,Meat,70000,,Current,1
Slovakia,Europe,beef,Meat,12500,,Current,1
Slovenia,Europe,beef,Meat,32104,,Current,1
Spain,Europe,beef,Meat,580840,,Current,1
Sweden,Europe,beef,Meat,121670,,Current,1
Switzerland,Europe,beef,Meat,142934,,Current,1
The former Yugoslav Republic of Macedonia,Europe,beef,Meat,5485,,Current,1
United Kingdom,Europe,beef,Meat,847000,,Current,1
United States of America,USA,beef,Meat,11698479,,Current,1
Afghanistan,Middle East,beef,Meat,134000,,Current,1
Algeria,Northern Africa,beef,Meat,139948,,Current,1
American Samoa,Small Island Nations,beef,Meat,4,,Current,1
Angola,Central Africa,beef,Meat,105400,,Current,1
Antigua and Barbuda,Caribbean,beef,Meat,156,,Current,1
Argentina,South America,beef,Meat,2822000,,Current,1
Armenia,East Europe and CIS,beef,Meat,53600,,Current,1
Azerbaijan,Middle East,beef,Meat,122998,,Current,1
Bahamas,Caribbean,beef,Meat,18,,Current,1
Bahrain,Middle East,beef,Meat,1032,,Current,1
Bangladesh,Middle East,beef,Meat,194000,,Current,1
Barbados,Caribbean,beef,Meat,160,,Current,1
Belarus,East Europe and CIS,beef,Meat,315700,,Current,1
Belize,Central America,beef,Meat,1848,,Current,1
Benin,Western Africa,beef,Meat,31350,,Current,1
Bhutan,Middle East,beef,Meat,5100,,Current,1
Bolivia (Plurinational State of),South America,beef,Meat,217730,,Current,1
Botswana,Southern Africa,beef,Meat,47000,,Current,1
Brazil,South America,beef,Meat,9675000,,Current,1
British Virgin Islands,Caribbean,beef,Meat,139,,Current,1
Brunei Darussalam,Southern Asia,beef,Meat,762,,Current,1
Burkina Faso,Western Africa,beef,Meat,75842,,Current,1
Burundi,Eastern Africa,beef,Meat,9061,,Current,1
Cote d'Ivoire,Western Africa,beef,Meat,31835,,Current,1
Cabo Verde,Western Africa,beef,Meat,546,,Current,1
Cambodia,Southern Asia,beef,Meat,63600,,Current,1
Cameroon,Central Africa,beef,Meat,128000,,Current,1
Central African Republic,Central Africa,beef,Meat,90000,,Current,1
Chad,Central Africa,beef,Meat,98400,,Current,1
Chile,South America,beef,Meat,206285,,Current,1
"China, Hong Kong SAR",Eastern Asia,beef,Meat,7900,,Current,1
"China, Macao SAR",Eastern Asia,beef,Meat,800,,Current,1
"China, mainland",China,beef,Meat,6393500,,Current,1
"China, Taiwan Province of",China,beef,Meat,6000,,Current,1
Colombia,South America,beef,Meat,848409,,Current,1
Comoros,Eastern Africa,beef,Meat,1265,,Current,1
Congo,Central Africa,beef,Meat,6552,,Current,1
Cook Islands,Small Island Nations,beef,Meat,4,,Current,1
Costa Rica,Central America,beef,Meat,85033,,Current,1
Cuba,Caribbean,beef,Meat,66900,,Current,1
Cyprus,Western Asia,beef,Meat,3489,,Current,1
Democratic People's Republic of Korea,Eastern Asia,beef,Meat,21975,,Current,1
Democratic Republic of the Congo,Central Africa,beef,Meat,12200,,Current,1
Djibouti,Eastern Africa,beef,Meat,6050,,Current,1
Dominica,Caribbean,beef,Meat,576,,Current,1
Dominican Republic,Caribbean,beef,Meat,100654,,Current,1
Ecuador,South America,beef,Meat,260500,,Current,1
Egypt,Northern Africa,beef,Meat,472000,,Current,1
El Salvador,Central America,beef,Meat,18412,,Current,1
Equatorial Guinea,Central Africa,beef,Meat,50,,Current,1
Eritrea,Eastern Africa,beef,Meat,24000,,Current,1
Ethiopia,Eastern Africa,beef,Meat,340750,,Current,1
Falkland Islands (Malvinas),South America,beef,Meat,157,,Current,1
Fiji,Small Island Nations,beef,Meat,7600,,Current,1
French Guiana,South America,beef,Meat,355,,Current,1
French Polynesia,Small Island Nations,beef,Meat,130,,Current,1
Gabon,Central Africa,beef,Meat,1162,,Current,1
Gambia,Western Africa,beef,Meat,3720,,Current,1
Georgia,Western Asia,beef,Meat,20200,,Current,1
Ghana,Western Africa,beef,Meat,21863,,Current,1
Grenada,Caribbean,beef,Meat,140,,Current,1
Guadeloupe,Caribbean,beef,Meat,3000,,Current,1
Guam,Small Island Nations,beef,Meat,8,,Current,1
Guatemala,Central America,beef,Meat,83400,,Current,1
Guinea,Western Africa,beef,Meat,56050,,Current,1
Guinea-Bissau,Western Africa,beef,Meat,6710,,Current,1
Guyana,South America,beef,Meat,2262,,Current,1
Haiti,Caribbean,beef,Meat,46500,,Current,1
Honduras,Central America,beef,Meat,63000,,Current,1
India,Southern Asia,beef,Meat,966575,,Current,1
Indonesia,Southern Asia,beef,Meat,545621,,Current,1
Iran (Islamic Republic of),Middle East,beef,Meat,249000,,Current,1
Iraq,Middle East,beef,Meat,51300,,Current,1
Israel,Middle East,beef,Meat,132239,,Current,1
Jamaica,Caribbean,beef,Meat,5600,,Current,1
Japan,Eastern Asia,beef,Meat,508009,,Current,1
Jordan,Western Asia,beef,Meat,19800,,Current,1
Kazakhstan,East Europe and CIS,beef,Meat,383468,,Current,1
Kenya,Eastern Africa,beef,Meat,425000,,Current,1
Kiribati,Small Island Nations,beef,Meat,0,,Current,1
Kuwait,Western Asia,beef,Meat,2750,,Current,1
Kyrgyzstan,East Europe and CIS,beef,Meat,98600,,Current,1
Lao People's Democratic Republic,Southern Asia,beef,Meat,28620,,Current,1
Lebanon,Middle East,beef,Meat,47545,,Current,1
Lesotho,Southern Africa,beef,Meat,13500,,Current,1
Liberia,Western Africa,beef,Meat,1138,,Current,1
Libya,Northern Africa,beef,Meat,8900,,Current,1
Madagascar,Eastern Africa,beef,Meat,172125,,Current,1
Malawi,Eastern Africa,beef,Meat,38382,,Current,1
Malaysia,Southern Asia,beef,Meat,26762,,Current,1
Mali,Western Africa,beef,Meat,169000,,Current,1
Martinique,Caribbean,beef,Meat,1000,,Current,1
Mauritania,Western Africa,beef,Meat,29400,,Current,1
Mauritius,Eastern Africa,beef,Meat,2650,,Current,1
Mexico,Central America,beef,Meat,1806758,,Current,1
Micronesia (Federated States of),Small Island Nations,beef,Meat,258,,Current,1
Mongolia,Eastern Asia,beef,Meat,56436,,Current,1
Montserrat,Caribbean,beef,Meat,720,,Current,1
Morocco,Northern Africa,beef,Meat,254000,,Current,1
Mozambique,Eastern Africa,beef,Meat,25500,,Current,1
Myanmar,Southern Asia,beef,Meat,216000,,Current,1
Namibia,Southern Africa,beef,Meat,35800,,Current,1
Nauru,Small Island Nations,beef,Meat,0,,Current,1
Nepal,Southern Asia,beef,Meat,51850,,Current,1
Nicaragua,Central America,beef,Meat,120687,,Current,1
Niger,Western Africa,beef,Meat,142800,,Current,1
Nigeria,Western Africa,beef,Meat,403000,,Current,1
Niue,Small Island Nations,beef,Meat,3,,Current,1
Occupied Palestinian Territory,Middle East,beef,Meat,7500,,Current,1
Oman,Middle East,beef,Meat,20800,,Current,1
Pakistan,Middle East,beef,Meat,813000,,Current,1
Panama,Central America,beef,Meat,84900,,Current,1
Papua New Guinea,Small Island Nations,beef,Meat,3300,,Current,1
Paraguay,South America,beef,Meat,374000,,Current,1
Peru,South America,beef,Meat,190569,,Current,1
Philippines,Southern Asia,beef,Meat,197757,,Current,1
Puerto Rico,Central America,beef,Meat,10300,,Current,1
Qatar,Middle East,beef,Meat,495,,Current,1
R'union,Eastern Africa,beef,Meat,1570,,Current,1
Republic of Korea,Eastern Asia,beef,Meat,336000,,Current,1
Republic of Moldova,East Europe and CIS,beef,Meat,9700,,Current,1
Russian Federation,East Europe and CIS,beef,Meat,1633258,,Current,1
Rwanda,Eastern Africa,beef,Meat,35318,,Current,1
Saint Kitts and Nevis,Central America,beef,Meat,95,,Current,1
Saint Lucia,Central America,beef,Meat,455,,Current,1
Saint Vincent and the Grenadines,Caribbean,beef,Meat,205,,Current,1
Samoa,Small Island Nations,beef,Meat,1100,,Current,1
Sao Tome and Principe,Central Africa,beef,Meat,144,,Current,1
Saudi Arabia,Middle East,beef,Meat,52000,,Current,1
Senegal,Western Africa,beef,Meat,63626,,Current,1
Seychelles,Eastern Africa,beef,Meat,6,,Current,1
Sierra Leone,Western Africa,beef,Meat,10080,,Current,1
Singapore,Southern Asia,beef,Meat,50,,Current,1
Solomon Islands,Small Island Nations,beef,Meat,740,,Current,1
Somalia,Eastern Africa,beef,Meat,60500,,Current,1
South Africa,Southern Africa,beef,Meat,851000,,Current,1
South Sudan,Eastern Africa,beef,Meat,213000,,Current,1
Sri Lanka,Southern Asia,beef,Meat,24450,,Current,1
Sudan,Northern Africa,beef,Meat,358000,,Current,1
Suriname,South America,beef,Meat,1633,,Current,1
Swaziland,Southern Africa,beef,Meat,17100,,Current,1
Syrian Arab Republic,Middle East,beef,Meat,69880,,Current,1
Tajikistan,East Europe and CIS,beef,Meat,34600,,Current,1
Thailand,Southern Asia,beef,Meat,160000,,Current,1
Timor-Leste,Southern Asia,beef,Meat,1150,,Current,1
Togo,Western Africa,beef,Meat,9813,,Current,1
Tokelau,Small Island Nations,beef,Meat,0,,Current,1
Tonga,Small Island Nations,beef,Meat,370,,Current,1
Trinidad and Tobago,Caribbean,beef,Meat,1036,,Current,1
Tunisia,Northern Africa,beef,Meat,56000,,Current,1
Turkey,Middle East,beef,Meat,869292,,Current,1
Turkmenistan,East Europe and CIS,beef,Meat,146200,,Current,1
Tuvalu,Small Island Nations,beef,Meat,0,,Current,1
Uganda,Eastern Africa,beef,Meat,199008,,Current,1
Ukraine,East Europe and CIS,beef,Meat,427800,,Current,1
United Arab Emirates,Middle East,beef,Meat,16000,,Current,1
United Republic of Tanzania,Eastern Africa,beef,Meat,299581,,Current,1
United States Virgin Islands,Caribbean,beef,Meat,550,,Current,1
Uruguay,South America,beef,Meat,503000,,Current,1
Uzbekistan,East Europe and CIS,beef,Meat,813000,,Current,1
Vanuatu,Small Island Nations,beef,Meat,3100,,Current,1
Venezuela (Bolivarian Republic of),South America,beef,Meat,516099,,Current,1
