country,ISO3,MIXED_crop,MARINE_crop,MIXED_c&g,MARINE_c&g
Afghanistan,AFG,0.09,0.09,0.07,0.07
Albania,ALB,0.14,0.14,0.1,0.1
Algeria,DZA,0.15,0.15,0.19,0.19
American Samoa,ASM,0.6,0.6,0.22,0.22
Angola,AGO,0.56,0.56,0.3,0.29
Antigua and Barbuda,ATG,0.38,0.38,0.04,0.04
Argentina,ARG,0.19,0.16,0.37,0.36
Armenia,ARM,0.07,0.1,0.19,0.18
Aruba,ABW,NA,NA,NA,NA
Australia,AUS,0.15,0.05,0.22,0.21
Austria,AUT,0.25,0.24,0.2,0.19
Azerbaijan,AZE,0.08,0.08,0.14,0.13
Bahamas,BHS,0.33,0.33,0.1,0.09
Bahrain,BHR,0.25,0.25,0.24,0.24
Bangladesh,BGD,-0.05,0,0.09,0.09
Barbados,BRB,0.42,0.42,0.09,0.09
Belarus,BLR,0.26,0.26,0.21,0.2
Belgium,BEL,0.24,0.18,0.21,0.2
Belize,BLZ,0.13,-0.3,0.24,0.1
Benin,BEN,0.32,0.33,0.18,0.18
Bermuda,BMU,NA,NA,0.07,0.06
Bhutan,BTN,0.05,0.05,0.06,0.05
Bolivia (Plurinational State of),BOL,0.24,0.22,0.37,0.37
"Bonaire, Saint Eustatius and Saba",#N/A,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,0.09,0.1,0.07,0.07
Botswana,BWA,0.26,0.26,0.17,0.16
Brazil,BRA,0.26,0.24,0.29,0.28
British Virgin Islands,VIR,NA,NA,0.39,0.39
Brunei Darussalam,BRN,NA,NA,0.47,0.47
Bulgaria,BGR,0.18,0.11,0.12,0.09
Burkina Faso,BFA,0.6,0.6,0.1,0.1
Burundi,BDI,0.25,0.25,0.12,0.11
Cabo Verde,CPV,0.21,0.21,0.15,0.15
Cambodia,KHM,0.18,0.3,0.28,0.3
Cameroon,CMR,0.42,0.42,0.29,0.28
Canada,CAN,0.21,0.15,0.23,0.21
Cayman Islands,CYM,NA,NA,NA,NA
Central African Republic,CAF,NA,NA,0.25,0.25
Chad,TCD,0.31,0.31,0.16,0.16
Channel Islands,#N/A,NA,NA,NA,NA
Chile,CHL,0.03,-0.37,0.2,0.18
"China, Hong Kong SAR",HKG,NA,NA,0.5,0.5
"China, Macao SAR",MAC,NA,NA,0.51,0.51
"China, mainland",CHN,0.18,0.24,0.26,0.28
"China, Taiwan Province of",TWN,0.16,0.03,0.14,0.12
Colombia,COL,0.27,0.28,0.18,0.17
Comoros,COM,0.2,0.2,0.15,0.15
Congo,COG,0.6,0.6,0.41,0.41
Cook Islands,COK,0.6,0.6,0.38,0.38
Costa Rica,CRI,0.48,0.48,0.14,0.13
Cote d'Ivoire,CIV,0.36,0.35,0.15,0.15
Croatia,HRV,0.18,0.13,0.14,0.12
Cuba,CUB,0.35,0.34,0.19,0.19
Cyprus,CYP,0.44,0.44,0.19,0.19
Czech Republic,CZE,NA,NA,0.01,0
Czechia,CZE,0.25,0.26,0.27,0.28
Czechoslovakia,#N/A,NA,NA,NA,NA
Democratic People's Republic of Korea,PRK,0.22,0.23,0.27,0.27
Democratic Republic of the Congo,COD,0.48,0.49,0.33,0.33
Denmark,DNK,0.3,0.28,0.18,0.17
Djibouti,DJI,NA,NA,0.22,0.22
Dominica,DMA,0.45,0.45,0.1,0.1
Dominican Republic,DOM,0.33,0.33,0.22,0.21
Ecuador,ECU,0.18,-0.08,0.2,0.19
Egypt,EGY,-0.04,-0.4,0.23,0.2
El Salvador,SLV,0.2,0.19,0.1,0.1
Equatorial Guinea,GNQ,0.6,0.6,0.38,0.38
Eritrea,ERI,0.11,0.1,0.06,0.06
Estonia,EST,0.17,0.17,0.12,0.11
Ethiopia,ETH,0.1,0.09,0.06,0.05
Falkland Islands (Malvinas),FLK,NA,NA,0.19,0.19
Faroe Islands,FRO,NA,NA,0.15,0.15
Fiji,FJI,0.55,0.55,0.23,0.22
Finland,FIN,0.2,0.14,0.17,0.15
France,FRA,0.2,0.16,0.18,0.17
French Guiana,GUF,0.33,0.33,0.32,0.32
French Polynesia,PYF,0.6,0.6,0.24,0.24
Gabon,GAB,0.5,0.5,0.25,0.24
Gambia,GMB,0.17,0.17,0.11,0.1
Georgia,GEO,0.11,0.11,0.06,0.05
Germany,DEU,0.24,0.22,0.16,0.16
Ghana,GHA,0.25,0.31,0.15,0.16
Greece,GRC,0.09,-0.13,0.14,0.09
Greenland,GRL,NA,NA,0.12,0.12
Grenada,GRD,0.2,0.2,0.22,0.21
Guadeloupe,GLP,0.6,0.6,0.48,0.48
Guam,GUM,0.02,-0.03,0.29,0.27
Guatemala,GTM,0.22,0.19,0.15,0.15
Guinea,GIN,0.18,0.18,0.13,0.12
Guinea-Bissau,GNB,0.21,0.2,0.1,0.1
Guyana,GUY,0.26,0.25,0.1,0.09
Haiti,HTI,0.42,0.42,0.22,0.21
Honduras,HND,0.18,0.09,0.14,0.13
Hungary,HUN,0.22,0.19,0.17,0.15
Iceland,ISL,NA,NA,0.12,0.12
India,IND,0.06,0.06,0.05,0.05
Indonesia,IDN,-0.02,-0.13,0.23,0.18
Iran (Islamic Republic of),IRN,0.11,0.11,0.13,0.13
Iraq,IRQ,0.07,0.14,0.17,0.18
Ireland,IRL,0.13,0.1,0.19,0.18
Israel,ISR,0.21,0.23,0.38,0.38
Italy,ITA,0.23,0.23,0.19,0.19
Jamaica,JAM,0.42,0.43,0.29,0.29
Japan,JPN,0.26,0.15,0.31,0.31
Jordan,JOR,0.21,0.21,0.28,0.28
Kazakhstan,KAZ,0.13,0.06,0.18,0.17
