country,MixNeg_crop,MixPos_crop,MARNeg_crop,MARPos_crop,MixNeg_c&g,MixPos_c&g,MARNeg_c&g,MARPos_c&g
Afghanistan,0,1,0,1,0,1,0,1
Albania,0,1,0,1,0,1,0,1
Algeria,0,1,0,1,0,1,0,1
American Samoa,0,1,0,1,0,1,0,1
Angola,0,1,0,1,0,1,0,1
Antigua and Barbuda,0,1,0,1,0,1,0,1
Argentina,0,1,0,1,0,1,0,1
Armenia,0,1,0,1,0,1,0,1
Aruba,0,0,0,0,0,0,0,0
Australia,0,1,0,1,0,1,0,1
Austria,0,1,0,1,0,1,0,1
Azerbaijan,0,1,0,1,0,1,0,1
Bahamas,0,1,0,1,0,1,0,1
Bahrain,0,1,0,1,0,1,0,1
Bangladesh,1,0,1,0,0,1,0,1
Barbados,0,1,0,1,0,1,0,1
Belarus,0,1,0,1,0,1,0,1
Belgium,0,1,0,1,0,1,0,1
Belize,0,1,1,0,0,1,0,1
Benin,0,1,0,1,0,1,0,1
Bermuda,0,0,0,0,0,1,0,1
Bhutan,0,1,0,1,0,1,0,1
Bolivia (Plurinational State of),0,1,0,1,0,1,0,1
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,1,0,1,0,1,0,1
Botswana,0,1,0,1,0,1,0,1
Brazil,0,1,0,1,0,1,0,1
British Virgin Islands,0,0,0,0,0,1,0,1
Brunei Darussalam,0,0,0,0,0,1,0,1
Bulgaria,0,1,0,1,0,1,0,1
Burkina Faso,0,1,0,1,0,1,0,1
Burundi,0,1,0,1,0,1,0,1
Cabo Verde,0,1,0,1,0,1,0,1
Cambodia,0,1,0,1,0,1,0,1
Cameroon,0,1,0,1,0,1,0,1
Canada,0,1,0,1,0,1,0,1
Cayman Islands,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,1,0,1
Chad,0,1,0,1,0,1,0,1
Channel Islands,0,0,0,0,0,0,0,0
Chile,0,1,1,0,0,1,0,1
"China, Hong Kong SAR",0,0,0,0,0,1,0,1
"China, Macao SAR",0,0,0,0,0,1,0,1
"China, mainland",0,1,0,1,0,1,0,1
"China, Taiwan Province of",0,1,0,1,0,1,0,1
Colombia,0,1,0,1,0,1,0,1
Comoros,0,1,0,1,0,1,0,1
Congo,0,1,0,1,0,1,0,1
Cook Islands,0,1,0,1,0,1,0,1
Costa Rica,0,1,0,1,0,1,0,1
Cote d'Ivoire,0,1,0,1,0,1,0,1
Croatia,0,1,0,1,0,1,0,1
Cuba,0,1,0,1,0,1,0,1
Cyprus,0,1,0,1,0,1,0,1
Czech Republic,0,0,0,0,0,1,0,1
Czechia,0,1,0,1,0,1,0,1
Czechoslovakia,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,0,1,0,1,0,1,0,1
Democratic Republic of the Congo,0,1,0,1,0,1,0,1
Denmark,0,1,0,1,0,1,0,1
Djibouti,0,0,0,0,0,1,0,1
Dominica,0,1,0,1,0,1,0,1
Dominican Republic,0,1,0,1,0,1,0,1
Ecuador,0,1,1,0,0,1,0,1
Egypt,1,0,1,0,0,1,0,1
El Salvador,0,1,0,1,0,1,0,1
Equatorial Guinea,0,1,0,1,0,1,0,1
Eritrea,0,1,0,1,0,1,0,1
Estonia,0,1,0,1,0,1,0,1
Ethiopia,0,1,0,1,0,1,0,1
Falkland Islands (Malvinas),0,0,0,0,0,1,0,1
Faroe Islands,0,0,0,0,0,1,0,1
Fiji,0,1,0,1,0,1,0,1
Finland,0,1,0,1,0,1,0,1
France,0,1,0,1,0,1,0,1
French Guiana,0,1,0,1,0,1,0,1
French Polynesia,0,1,0,1,0,1,0,1
Gabon,0,1,0,1,0,1,0,1
Gambia,0,1,0,1,0,1,0,1
Georgia,0,1,0,1,0,1,0,1
Germany,0,1,0,1,0,1,0,1
Ghana,0,1,0,1,0,1,0,1
Greece,0,1,1,0,0,1,0,1
Greenland,0,0,0,0,0,1,0,1
Grenada,0,1,0,1,0,1,0,1
Guadeloupe,0,1,0,1,0,1,0,1
Guam,0,1,1,0,0,1,0,1
Guatemala,0,1,0,1,0,1,0,1
Guinea,0,1,0,1,0,1,0,1
Guinea-Bissau,0,1,0,1,0,1,0,1
Guyana,0,1,0,1,0,1,0,1
Haiti,0,1,0,1,0,1,0,1
Honduras,0,1,0,1,0,1,0,1
Hungary,0,1,0,1,0,1,0,1
Iceland,0,0,0,0,0,1,0,1
India,0,1,0,1,0,1,0,1
Indonesia,1,0,1,0,0,1,0,1
Iran (Islamic Republic of),0,1,0,1,0,1,0,1
Iraq,0,1,0,1,0,1,0,1
Ireland,0,1,0,1,0,1,0,1
Israel,0,1,0,1,0,1,0,1
Italy,0,1,0,1,0,1,0,1
Jamaica,0,1,0,1,0,1,0,1
Japan,0,1,0,1,0,1,0,1
Jordan,0,1,0,1,0,1,0,1
Kazakhstan,0,1,0,1,0,1,0,1
Kenya,0,1,0,1,0,1,0,1
Kiribati,0,0,0,0,0,0,0,0
Kuwait,0,1,0,1,0,1,0,1
Kyrgyzstan,0,1,0,1,0,1,0,1
Lao People's Democratic Republic,0,1,0,1,0,1,0,1
Latvia,0,1,0,1,0,1,0,1
Lebanon,0,1,0,1,0,1,0,1
Lesotho,0,1,0,1,0,1,0,1
Liberia,0,1,0,1,0,1,0,1
Libya,0,1,0,1,0,1,0,1
Liechtenstein,0,0,0,0,0,1,0,1
Lithuania,0,1,0,1,0,1,0,1
Luxembourg,0,1,0,1,0,1,0,1
Madagascar,0,1,0,1,0,1,0,1
Malawi,0,1,0,1,0,1,0,1
Malaysia,0,1,0,1,0,1,0,1
Maldives,0,0,0,0,0,0,0,0
Mali,0,1,0,1,0,1,0,1
Malta,0,1,0,1,0,1,0,1
Marshall Islands,0,0,0,0,0,0,0,0
Martinique,0,1,0,1,0,1,0,1
Mauritania,0,0,0,0,0,1,0,1
Mauritius,0,1,0,1,0,1,0,1
Mayotte,0,0,0,0,0,0,0,0
Mexico,0,1,0,1,0,1,0,1
Micronesia (Federated States of),0,1,0,1,0,1,0,1
Mongolia,0,1,0,1,0,1,0,1
Montenegro,0,1,0,1,0,1,0,1
Montserrat,0,0,0,0,0,1,0,1
Morocco,0,1,0,1,0,1,0,1
Mozambique,0,1,0,1,0,1,0,1
Myanmar,0,1,0,1,0,1,0,1
Namibia,0,1,0,1,0,1,0,1
Nauru,0,0,0,0,0,0,0,0
Nepal,0,1,0,1,0,1,0,1
Netherlands,0,1,0,1,0,1,0,1
New Caledonia,0,1,0,1,0,1,0,1
New Zealand,0,1,0,1,0,1,0,1
Nicaragua,0,1,0,1,0,1,0,1
Niger,0,1,0,1,0,1,0,1
Nigeria,0,1,0,1,0,1,0,1
Niue,0,1,0,1,0,1,0,1
Norfolk Island,0,0,0,0,0,0,0,0
Northern Mariana Is.,0,0,0,0,0,0,0,0
Norway,1,0,1,0,0,1,0,1
Occupied Palestinian Territory,0,1,0,1,0,1,0,1
Oman,0,1,0,1,0,1,0,1
Pakistan,0,1,0,1,0,1,0,1
Palau,0,0,0,0,0,0,0,0
Panama,0,1,0,1,0,1,0,1
Papua New Guinea,0,1,0,1,0,1,0,1
Paraguay,0,1,0,1,0,1,0,1
Peru,0,1,0,1,0,1,0,1
Philippines,0,1,1,0,0,1,0,1
Poland,0,1,0,1,0,1,0,1
Portugal,0,1,0,1,0,1,0,1
Puerto Rico,0,1,0,1,0,1,0,1
Qatar,0,1,0,1,0,1,0,1
R'union,0,1,0,1,0,1,0,1
Republic of Korea,0,1,0,1,0,1,0,1
Republic of Moldova,0,1,0,1,0,1,0,1
Romania,0,1,0,1,0,1,0,1
Russian Federation,0,1,0,1,0,1,0,1
Rwanda,0,0,0,0,0,1,0,1
Saint Kitts and Nevis,0,0,0,0,0,1,0,1
Saint Lucia,0,0,0,0,0,1,0,1
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,1,0,1,0,1,0,1
Samoa,0,1,0,1,0,1,0,1
Sao Tome and Principe,0,1,0,1,0,1,0,1
Saudi Arabia,0,1,0,1,0,1,0,1
Senegal,0,1,0,1,0,1,0,1
Serbia,0,1,0,1,0,1,0,1
Serbia and Montenegro,0,0,0,0,0,0,0,0
Seychelles,0,1,0,1,0,1,0,1
Sierra Leone,0,1,0,1,0,1,0,1
Singapore,0,0,0,0,0,1,0,1
Slovakia,0,1,0,1,0,1,0,1
Slovenia,0,1,0,1,0,1,0,1
Solomon Islands,0,1,0,1,0,1,0,1
Somalia,0,1,0,1,0,1,0,1
South Africa,0,1,0,1,0,1,0,1
South Sudan,0,1,0,1,0,1,0,1
Spain,0,1,0,1,0,1,0,1
Sri Lanka,0,1,0,1,0,1,0,1
Sudan,0,1,0,1,0,1,0,1
