Country,Country-Region,Animal,Farm_factor_wheat,Farm_factor_corn,Farm_factor_soy,Farm_factor_rapeseed,Farm_factor_pulses,Farm_factor_barley,Farm_factor_cassava
Albania,Europe,beef,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,beef,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,beef,1.1,1.1,0.5,0.3,0.1,2.8,0
Belgium,Europe,beef,1,0.6,0.5,1,0,2.1,0.2
Bermuda,USA,beef,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,beef,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,beef,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,beef,1.6,1.7,0.5,0.5,0,6.9,0.1
Croatia,Europe,beef,1.4,6.6,0.7,0.2,0,2.4,0
Czechia,Europe,beef,6,1.9,1,4.5,0.1,8.3,0
Denmark,Europe,beef,2.9,0.1,0.6,0.6,0,4.2,0
Estonia,Europe,beef,1.2,0.1,0.2,1.5,0,6.1,0
Faroe Islands,Europe,beef,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Finland,Europe,beef,1.7,0,0.3,1.2,0,11.7,0.2
France,Europe,beef,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,beef,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,beef,1.3,4,0.6,0.1,0,1.8,0.3
Greenland,Europe,beef,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Hungary,Europe,beef,2.5,5.6,0.6,0.1,0,3,0
Iceland,Europe,beef,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,beef,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,beef,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,beef,3.5,0.1,0.3,0.5,0,4,0
Lithuania,Europe,beef,2,0.4,0.3,0.5,0.2,5.4,1
Luxembourg,Europe,beef,3.3,0.1,0.4,0.4,0,2.5,0.1
Malta,Europe,beef,0,3.2,0.8,0,0.2,8.9,0.1
Montenegro,Europe,beef,2.1,0.6,0,0,0,0,0
Netherlands,Europe,beef,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,beef,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,beef,0.4,0.1,0,0,0,0.3,0
Norway,Europe,beef,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,beef,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,beef,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,beef,0.8,6.6,0.2,0,0,0.7,0
Saint Pierre and Miquelon,Canada,beef,1.6,1.7,0.5,0.5,0,6.9,0.1
Serbia,Europe,beef,0.9,7,0.3,0,0.2,0.9,0
Slovakia,Europe,beef,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,beef,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,beef,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,beef,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,beef,1.2,0.4,0.4,0.2,0,1.8,0.2
The former Yugoslav Republic of Macedonia,Europe,beef,0.7,2.1,0.2,0,0.3,4,0
