Country,Wheat% Prod,Maize% Prod,Soybeans% Prod,Rapeseed% Prod,Pulses% Prod,Barley% Prod,Cassava% Prod
Afghanistan,0.83,1,0,0,1,0.98,0
Albania,0.48,0.83,0.01,0,1,0.82,0
Algeria,0.34,0,0,0.99,0.99,0.74,0
American Samoa,0,0,0,0,0,0,1
Angola,0.01,0.84,0.11,0,0,0,1
Antigua and Barbuda,0,0.24,0,0,0,0,0.75
Argentina,1,1,1,0.98,0,1,0.98
Armenia,0.47,0.2,0,0,1,0.95,0
Australia,1,0.97,0.12,1,0.99,1,0
Austria,0.7,0.63,0.13,0.3,0.93,0.79,0
Azerbaijan,0.55,0.56,0,0,1,0.98,0
Bahamas,0,0.33,0,0,0,0,0.86
Bahrain,0,0,0,0,0.04,0,0
Bangladesh,0.27,0.77,0.06,0.79,1,0.99,0
Barbados,0,0.01,0,0,1,0,1
Belarus,0.97,0.93,0,1,0,0.99,0
Belgium,0.32,0.33,0,0.02,0,0.17,0
Belize,0,0.98,0.23,0,0,0,1
Benin,0,1,1,0,1,0,1
Bermuda,0,0,0,0,0,0,0
Bhutan,0.18,0.88,0.01,0,0.99,1,0
Bolivia (Plurinational State of),0.5,1,1,0,0,0.99,0.98
Bosnia and Herzegovina,0.4,0.78,0.08,0.12,0,0.81,0
Botswana,0,0.02,0,0,1,0,0
Brazil,0.43,0.99,1,0.48,0,0.47,1
British Virgin Islands,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0.94
Bulgaria,0.99,0.98,0,0.96,0.86,1,0
Burkina Faso,0,1,1,0,1,0,1
Burundi,0.12,0.9,1,0,0,0,1
Cote d'Ivoire,0,0.98,0.05,0,1,0,1
Cabo Verde,0,0.16,0,0,1,0,1
Cambodia,0,0.97,0.83,0,0,0,1
Cameroon,0,0.98,0.23,0,0.99,0,1
Canada,0.99,0.94,0.82,0.99,0,1,0
Central African Republic,0,0.97,0,0,1,0,1
Chad,0.31,0.95,0,0,1,0,1
Chile,0.61,0.57,0,0.78,0,0.52,0
"China, Hong Kong SAR",0,0,0,0,0,0,0
"China, Macao SAR",0,0,0,0,0,0,0
