Country,Region,Wheat_crop_ha,Maize_crop_ha,Soybeans_crop_ha,Rapeseed_crop_ha,Pulses_crop_ha,Barley_crop_ha,Cassava_crop/ha
Afghanistan,Asia,0.34,0.31,0,0,0.62,0.45,0
Albania,Europe,0.18,0.1,0.72,0,0.86,0.3,0
Algeria,Africa,0.36,0.21,0,0.21,0.56,0.5,0
American Samoa,Small Island Nations,0.07,0.27,0,0,0.4,0,0.12
Angola,Africa,0.6,0.73,1.63,0,0,0,0.05
Antigua and Barbuda,North America,0,0.35,0,0,0,0,0.13
Argentina,South America,0.27,0.11,0.28,0.35,0,0.21,0.07
Armenia,East Europe and CIS,0.22,0.1,0,0,0.13,0.28,0
Aruba,North America,0,0.35,0,0,0.19,0,0.07
Australia,Australia and New Zealand,0.41,0.11,0.32,0.45,0.35,0.36,0
Austria,Europe,0.14,0.09,0.37,0.17,0.2,0.16,0
Azerbaijan,Asia,0.26,0.13,1.2,0,0.22,0.34,0
Bahamas,North America,0,0.09,0,0,0,0,0.03
Bahrain,Asia,0,0,0,0,0.65,0,0
Bangladesh,Asia,0.23,0.1,0.45,0.5,0.51,0.93,0
Barbados,North America,0,0.24,0,0,0.21,0,0.03
Belarus,East Europe and CIS,0.23,0.12,0,0.34,0,0.28,0
Belgium,Europe,0.08,0.07,0,0.13,0,0.1,0
Belize,Central America,0,0.2,0.45,0,0,0,0.04
Benin,Africa,0,0.53,0.81,0,0.39,0,0.05
Bermuda,North America,0,0,0,0,0,0,0
Bhutan,Asia,0.29,0.26,1.04,0,0.79,0.65,0
Bolivia (Plurinational State of),South America,0.6,0.28,0.32,0,0,0.88,0.08
Bosnia and Herzegovina,Europe,0.19,0.17,0.4,0.26,0,0.24,0
Botswana,Africa,0,8.13,0,0,2.52,0,0
Brazil,South America,0.27,0.14,0.25,0.71,0,0.22,0.05
British Virgin Islands,Central America,0,0.33,0,0,0.19,0,0.07
Brunei Darussalam,Asia,0,0,0,0,0,0,0.04
Bulgaria,Europe,0.17,0.11,0.4,0.23,0.21,0.22,0
Burkina Faso,Africa,0,0.4,0.53,0,0.49,0,0.49
Burundi,Africa,0.95,0.52,0.75,0,0,0,0.1
Cabo Verde,Africa,0,3.78,0,0,2.32,0,0.09
Cambodia,Asia,0,0.16,0.46,0,0,0,0.03
Cameroon,Africa,0.54,0.35,0.54,0,0.44,0,0.05
Canada,North America,0.2,0.08,0.25,0.25,0,0.22,0
Cayman Islands,Central America,0,0.33,0,0,0.19,0,0.22
Central African Republic,Africa,0,0.39,0,0,0.49,0,0.23
Chad,Africa,0.37,0.53,0,0,0.47,0,0.1
Chile,South America,0.13,0.07,0,0.15,0,0.14,0
"China, Hong Kong SAR",Asia,0.36,0.14,0.36,0.29,0.22,0.44,0
"China, Macao SAR",Asia,0.36,0.14,0.36,0.29,0.22,0.44,0
"China, mainland",Asia,0.14,0.11,0.41,0.3,0.23,0.23,0.04
"China, Taiwan Province of",Asia,0.35,0.11,0.38,0.61,0,0,0.03
Colombia,South America,0.43,0.26,0.26,0,0,0.39,0.07
Comoros,Africa,0,0.27,0,0,0.57,0,0.11
Congo,Africa,0,0.68,0,0,0,0,0.03
Cook Islands,Small Island Nations,0.07,0.27,0,0,0.4,0,0.03
Costa Rica,Central America,0,0.31,0,0,0,0,0.05
Cote d'Ivoire,Africa,0,0.35,0.68,0,0.63,0,0.1
Croatia,Europe,0.15,0.11,0.31,0.21,0,0.22,0
Cuba,Central America,0,0.29,0,0,0,0,0.09
Cyprus,Asia,0.31,0,0,0,0.4,0.54,0
Czech Republic,Europe,0.16,0.08,0.19,0.2,0.17,0.21,0
Czechia,Europe,0.13,0.1,0.35,0.17,0.32,0.18,0
Democratic People's Republic of Korea,Asia,0.46,0.18,0.62,0,0,0.55,0
Democratic Republic of the Congo,Africa,0.56,0.88,1.31,0,0.2,1.22,0.08
Denmark,Europe,0.1,0.12,0,0.15,0.15,0.14,0
Djibouti,Africa,0,0.35,0,0,0,0,0
Dominica,North America,0,0.41,0,0,0.68,0,0.09
Dominican Republic,North America,0,0.44,0,0,0,0,0.09
Ecuador,South America,1.03,0.2,0.44,0,0,1.03,0.27
Egypt,Africa,0.1,0.09,0.21,0,0.23,0.53,0
