ID,Wheat,Maize,Soy,Rapeseed,Pulses,Barley,Cassava,,,,,
Europe_marine fish,0.45,0.06,0.21,0.03,0,0,0,,,,,
South America_marine fish,0.44,0.18,0.21,0.02,0,0,0,,,,,
Australia_marine fish,0.45,0.06,0.21,0.03,0,0,0,,,,,
Caribbean_marine fish,0.35,0.25,0.26,0.01,0,0,0,,,,,
Middle East_marine fish,0.34,0.28,0.31,0.01,0,0,0,,,,,
Southern Asia_marine fish,0.31,0.29,0.32,0.01,0,0,0,,,,,
Canada_marine fish,0.45,0.06,0.21,0.03,0,0,0,,,,,
Eastern Asia_marine fish,0.35,0.17,0.3,0.02,0,0,0,,,,,
China_marine fish,0.14,0.36,0.5,0,0,0,0,,,,,
Central America_marine fish,0.35,0.31,0.3,0,0,0,0,,,,,
Western Asia_marine fish,0.43,0.2,0.21,0.01,0,0,0,,,,,
Other_marine fish,0.33,0.27,0.29,0.01,0,0,0,,,,,
Northern Africa_marine fish,0.32,0.3,0.3,0.01,0,0,0,,,,,
Eastern Africa_marine fish,0.22,0.43,0.34,0,0,0,0,,,,,
New Zealand_marine fish,0.46,0.07,0.2,0.03,0,0,0,,,,,
Southern Africa_marine fish,0.44,0.27,0.21,0,0,0,0,,,,,
USA_marine fish,0.45,0.06,0.21,0.03,0,0,0,,,,,
Western Africa_marine fish,0.18,0.42,0.4,0,0,0,0,,,,,
Central America_marine crustacean,0.35,0.31,0.3,0,0,0,0,,,,,
Europe_marine crustacean,0.45,0.06,0.21,0.03,0,0,0,,,,,
South America_marine crustacean,0.44,0.18,0.21,0.02,0,0,0,,,,,
Australia_marine crustacean,0.45,0.06,0.21,0.03,0,0,0,,,,,
Caribbean_marine crustacean,0.35,0.25,0.26,0.01,0,0,0,,,,,
Middle East_marine crustacean,0.34,0.28,0.31,0.01,0,0,0,,,,,
Southern Asia_marine crustacean,0.31,0.29,0.32,0.01,0,0,0,,,,,
Canada_marine crustacean,0.45,0.06,0.21,0.03,0,0,0,,,,,
Eastern Asia_marine crustacean,0.35,0.17,0.3,0.02,0,0,0,,,,,
China_marine crustacean,0.14,0.36,0.5,0,0,0,0,,,,,
Western Asia_marine crustacean,0.43,0.2,0.21,0.01,0,0,0,,,,,
Other_marine crustacean,0.33,0.27,0.29,0.01,0,0,0,,,,,
Northern Africa_marine crustacean,0.32,0.3,0.3,0.01,0,0,0,,,,,
Eastern Africa_marine crustacean,0.22,0.43,0.34,0,0,0,0,,,,,
New Zealand_marine crustacean,0.46,0.07,0.2,0.03,0,0,0,,,,,
Southern Africa_marine crustacean,0.44,0.27,0.21,0,0,0,0,,,,,
USA_marine crustacean,0.45,0.06,0.21,0.03,0,0,0,,,,,
Western Africa_marine crustacean,0.18,0.42,0.4,0,0,0,0,,,,,
Middle East_fw fish,0.34,0.28,0.31,0.01,0.03,0,0,,,,,
Europe_fw fish,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Northern Africa_fw fish,0.32,0.3,0.3,0.01,0.03,0,0,,,,,
Other_fw fish,0.33,0.27,0.29,0.01,0.06,0,0,,,,,
Central Africa_fw fish,0.19,0.43,0.38,0,0,0,0,,,,,
South America_fw fish,0.44,0.18,0.21,0.02,0.11,0,0,,,,,
Australia_fw fish,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Caribbean_fw fish,0.35,0.25,0.26,0.01,0.09,0,0,,,,,
Central America_fw fish,0.35,0.31,0.3,0,0,0,0,,,,,
Western Africa_fw fish,0.18,0.42,0.4,0,0,0,0,,,,,
Southern Asia_fw fish,0.31,0.29,0.32,0.01,0.03,0,0,,,,,
Eastern Africa_fw fish,0.22,0.43,0.34,0,0,0,0,,,,,
Canada_fw fish,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Eastern Asia_fw fish,0.35,0.17,0.3,0.02,0.13,0,0,,,,,
China_fw fish,0.14,0.36,0.5,0,0,0,0,,,,,
Western Asia_fw fish,0.43,0.2,0.21,0.01,0.1,0,0,,,,,
Southern Africa_fw fish,0.44,0.27,0.21,0,0.03,0,0,,,,,
New Zealand_fw fish,0.46,0.07,0.2,0.03,0.21,0,0,,,,,
USA_fw fish,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Middle East_fw crustacean,0.34,0.28,0.31,0.01,0.03,0,0,,,,,
Europe_fw crustacean,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Northern Africa_fw crustacean,0.32,0.3,0.3,0.01,0.03,0,0,,,,,
Other_fw crustacean,0.33,0.27,0.29,0.01,0.06,0,0,,,,,
Central Africa_fw crustacean,0.19,0.43,0.38,0,0,0,0,,,,,
South America_fw crustacean,0.44,0.18,0.21,0.02,0.11,0,0,,,,,
Australia_fw crustacean,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Caribbean_fw crustacean,0.35,0.25,0.26,0.01,0.09,0,0,,,,,
Central America_fw crustacean,0.35,0.31,0.3,0,0,0,0,,,,,
Western Africa_fw crustacean,0.18,0.42,0.4,0,0,0,0,,,,,
Southern Asia_fw crustacean,0.31,0.29,0.32,0.01,0.03,0,0,,,,,
Eastern Africa_fw crustacean,0.22,0.43,0.34,0,0,0,0,,,,,
Canada_fw crustacean,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Eastern Asia_fw crustacean,0.35,0.17,0.3,0.02,0.13,0,0,,,,,
China_fw crustacean,0.14,0.36,0.5,0,0,0,0,,,,,
Western Asia_fw crustacean,0.43,0.2,0.21,0.01,0.1,0,0,,,,,
Southern Africa_fw crustacean,0.44,0.27,0.21,0,0.03,0,0,,,,,
New Zealand_fw crustacean,0.46,0.07,0.2,0.03,0.21,0,0,,,,,
USA_fw crustacean,0.45,0.06,0.21,0.03,0.22,0,0,,,,,
Europe_beef,0,0.43,0,0.08,0.15,0,0,,,,,
South America_beef,0,0.43,0,0.08,0.15,0,0,,,,,
Australia_beef,0,0.43,0,0.08,0.15,0,0,,,,,
Caribbean_beef,0,0.43,0,0.08,0.15,0,0,,,,,
Middle East_beef,0,0.43,0,0.08,0.15,0,0,,,,,
Southern Asia_beef,0,0.43,0,0.08,0.15,0,0,,,,,
Canada_beef,0,0.43,0,0.08,0.15,0,0,,,,,
