Country,Country.Region,ID,animals,Taxon,Current_onfeed,mean_wheat,mean_corn,mean_soy,mean_rs,mean_pulses,mean_barley,mean_cv
Albania,Europe,Europe_beef,beef,Meat,35020,0,128149,0,23842,44703,0,0
Australia,Australia,Australia_beef,beef,Meat,1604454,0,5871179,0,1092312,2048086,0,0
Austria,Europe,Europe_beef,beef,Meat,194568,0,711981,0,132462,248365,0,0
Belgium,Europe,Europe_beef,beef,Meat,212477,0,777517,0,144654,271227,0,0
Bermuda,USA,USA_beef,beef,Meat,25,0,90,0,17,31,0,0
Bosnia and Herzegovina,Europe,Europe_beef,beef,Meat,13953,0,51057,0,9499,17811,0,0
Bulgaria,Europe,Europe_beef,beef,Meat,16241,0,59431,0,11057,20732,0,0
Canada,Canada,Canada_beef,beef,Meat,865822,0,3168301,0,589451,1105221,0,0
Croatia,Europe,Europe_beef,beef,Meat,24183,0,88491,0,16463,30869,0,0
Czechia,Europe,Europe_beef,beef,Meat,55524,0,203178,0,37801,70876,0,0
Denmark,Europe,Europe_beef,beef,Meat,108800,0,398132,0,74071,138883,0,0
Estonia,Europe,Europe_beef,beef,Meat,9759,0,35711,0,6644,12457,0,0
Faroe Islands,Europe,Europe_beef,beef,Meat,66,0,243,0,45,85,0,0
Finland,Europe,Europe_beef,beef,Meat,69012,0,252534,0,46983,88093,0,0
France,Europe,Europe_beef,beef,Meat,1190340,0,4355811,0,810383,1519469,0,0
Germany,Europe,Europe_beef,beef,Meat,940436,0,3441337,0,640249,1200466,0,0
Greece,Europe,Europe_beef,beef,Meat,65025,0,237946,0,44269,83004,0,0
Greenland,Europe,Europe_beef,beef,Meat,0,0,0,0,0,0,0,0
Hungary,Europe,Europe_beef,beef,Meat,19938,0,72961,0,13574,25451,0,0
Iceland,Europe,Europe_beef,beef,Meat,3470,0,12697,0,2362,4429,0,0
Ireland,Europe,Europe_beef,beef,Meat,439943,0,1609883,0,299513,561587,0,0
Italy,Europe,Europe_beef,beef,Meat,715804,0,2619340,0,487319,913723,0,0
Latvia,Europe,Europe_beef,beef,Meat,14185,0,51906,0,9657,18107,0,0
Lithuania,Europe,Europe_beef,beef,Meat,32053,0,117290,0,21821,40915,0,0
Luxembourg,Europe,Europe_beef,beef,Meat,6851,0,25070,0,4664,8745,0,0
Malta,Europe,Europe_beef,beef,Meat,964,0,3527,0,656,1230,0,0
Montenegro,Europe,Europe_beef,beef,Meat,3910,0,14308,0,2662,4991,0,0
Netherlands,Europe,Europe_beef,beef,Meat,317696,0,1162545,0,216287,405539,0,0
New Caledonia,Island nation,Other_beef,beef,Meat,2273,0,8317,0,1547,2901,0,0
New Zealand,New Zealand,New Zealand_beef,beef,Meat,388987,0,1423419,0,264822,496542,0,0
Norway,Europe,Europe_beef,beef,Meat,71142,0,260328,0,48433,90812,0,0
Poland,Europe,Europe_beef,beef,Meat,328100,0,1200616,0,223370,418820,0,0
Portugal,Europe,Europe_beef,beef,Meat,78710,0,288024,0,53586,100473,0,0
Romania,Europe,Europe_beef,beef,Meat,81752,0,299156,0,55657,104357,0,0
Saint Pierre and Miquelon,Canada,Canada_beef,beef,Meat,0,0,0,0,0,0,0,0
Serbia,Europe,Europe_beef,beef,Meat,59500,0,217728,0,40508,75952,0,0
Slovakia,Europe,Europe_beef,beef,Meat,10625,0,38880,0,7234,13563,0,0
Slovenia,Europe,Europe_beef,beef,Meat,27288,0,99856,0,18578,34834,0,0
Spain,Europe,Europe_beef,beef,Meat,493714,0,1806648,0,336120,630226,0,0
Sweden,Europe,Europe_beef,beef,Meat,103420,0,378443,0,70408,132015,0,0
Switzerland,Europe,Europe_beef,beef,Meat,121494,0,444583,0,82713,155087,0,0
The former Yugoslav Republic of Macedonia,Europe,Europe_beef,beef,Meat,4662,0,17061,0,3174,5951,0,0
United Kingdom,Europe,Europe_beef,beef,Meat,719950,0,2634513,0,490142,919016,0,0
United States of America,USA,USA_beef,beef,Meat,9592753,0,35102760,0,6530746,12245149,0,0
Albania,Europe,Europe_goat,goat,Meat,6630,5947,5032,9607,0,8692,7777,0
Australia,Australia,Australia_goat,goat,Meat,17825,15989,13529,25829,0,23369,20909,0
Austria,Europe,Europe_goat,goat,Meat,604,541,458,874,0,791,708,0
Belgium,Europe,Europe_goat,goat,Meat,94,85,72,137,0,124,111,0
Bermuda,USA,USA_goat,goat,Meat,2,1,1,2,0,2,2,0
Bosnia and Herzegovina,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Bulgaria,Europe,Europe_goat,goat,Meat,1885,1691,1431,2732,0,2472,2211,0
Canada,Canada,Canada_goat,goat,Meat,0,0,0,0,0,0,0,0
Croatia,Europe,Europe_goat,goat,Meat,260,233,197,377,0,341,305,0
Czechia,Europe,Europe_goat,goat,Meat,207,186,157,301,0,272,243,0
Denmark,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Estonia,Europe,Europe_goat,goat,Meat,13,11,10,18,0,17,15,0
Faroe Islands,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Finland,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
France,Europe,Europe_goat,goat,Meat,10480,9400,7954,15185,0,13739,12293,0
Germany,Europe,Europe_goat,goat,Meat,410,368,311,594,0,537,481,0
Greece,Europe,Europe_goat,goat,Meat,31490,28246,23901,45629,0,41283,36938,0
Greenland,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Hungary,Europe,Europe_goat,goat,Meat,139,125,106,202,0,183,164,0
Iceland,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Ireland,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Italy,Europe,Europe_goat,goat,Meat,1115,1000,846,1616,0,1462,1308,0
Latvia,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Lithuania,Europe,Europe_goat,goat,Meat,167,149,126,241,0,218,195,0
Luxembourg,Europe,Europe_goat,goat,Meat,3,2,2,4,0,3,3,0
Malta,Europe,Europe_goat,goat,Meat,27,24,21,39,0,36,32,0
Montenegro,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Netherlands,Europe,Europe_goat,goat,Meat,1388,1245,1054,2011,0,1820,1628,0
New Caledonia,Island nation,Other_goat,goat,Meat,15,14,12,22,0,20,18,0
New Zealand,New Zealand,New Zealand_goat,goat,Meat,796,714,604,1153,0,1043,933,0
Norway,Europe,Europe_goat,goat,Meat,279,250,212,404,0,366,327,0
Poland,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Portugal,Europe,Europe_goat,goat,Meat,673,604,511,975,0,883,790,0
Romania,Europe,Europe_goat,goat,Meat,7217,6474,5478,10458,0,9462,8466,0
Saint Pierre and Miquelon,Canada,Canada_goat,goat,Meat,0,0,0,0,0,0,0,0
Serbia,Europe,Europe_goat,goat,Meat,3651,3275,2771,5290,0,4786,4282,0
Slovakia,Europe,Europe_goat,goat,Meat,221,198,168,320,0,290,259,0
Slovenia,Europe,Europe_goat,goat,Meat,250,224,190,362,0,328,293,0
Spain,Europe,Europe_goat,goat,Meat,7599,6816,5768,11011,0,9962,8914,0
Sweden,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
Switzerland,Europe,Europe_goat,goat,Meat,431,387,327,624,0,565,506,0
The former Yugoslav Republic of Macedonia,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
United Kingdom,Europe,Europe_goat,goat,Meat,0,0,0,0,0,0,0,0
United States of America,USA,USA_goat,goat,Meat,0,0,0,0,0,0,0,0
Albania,Europe,Europe_sheep,sheep,Meat,13430,19851,16797,32067,0,29013,25959,0
Australia,Australia,Australia_sheep,sheep,Meat,457182,675761,571798,1091614,0,987650,883687,0
Austria,Europe,Europe_sheep,sheep,Meat,6144,9081,7684,14670,0,13272,11875,0
Belgium,Europe,Europe_sheep,sheep,Meat,1951,2883,2440,4658,0,4214,3771,0
Bermuda,USA,USA_sheep,sheep,Meat,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,Europe_sheep,sheep,Meat,1248,1844,1561,2979,0,2696,2412,0
Bulgaria,Europe,Europe_sheep,sheep,Meat,9009,13316,11268,21511,0,19462,17414,0
Canada,Canada,Canada_sheep,sheep,Meat,13830,20442,17297,33022,0,29877,26732,0
Croatia,Europe,Europe_sheep,sheep,Meat,1761,2603,2203,4205,0,3805,3404,0
Czechia,Europe,Europe_sheep,sheep,Meat,2632,3890,3291,6283,0,5685,5087,0
Denmark,Europe,Europe_sheep,sheep,Meat,1305,1929,1632,3115,0,2819,2522,0
Estonia,Europe,Europe_sheep,sheep,Meat,592,874,740,1413,0,1278,1144,0
Faroe Islands,Europe,Europe_sheep,sheep,Meat,449,663,561,1072,0,970,867,0
Finland,Europe,Europe_sheep,sheep,Meat,833,1231,1042,1989,0,1800,1610,0
France,Europe,Europe_sheep,sheep,Meat,94296,139378,117936,225150,0,203707,182264,0
Germany,Europe,Europe_sheep,sheep,Meat,29526,43643,36929,70500,0,63786,57072,0
Greece,Europe,Europe_sheep,sheep,Meat,65450,96742,81858,156275,0,141392,126508,0
Greenland,Europe,Europe_sheep,sheep,Meat,289,427,361,690,0,624,559,0
Hungary,Europe,Europe_sheep,sheep,Meat,729,1078,912,1741,0,1576,1410,0
Iceland,Europe,Europe_sheep,sheep,Meat,8407,12427,10515,20074,0,18162,16251,0
Ireland,Europe,Europe_sheep,sheep,Meat,48850,72204,61096,116638,0,105530,94421,0
Italy,Europe,Europe_sheep,sheep,Meat,29031,42911,36309,69317,0,62715,56114,0
Latvia,Europe,Europe_sheep,sheep,Meat,574,848,718,1370,0,1239,1109,0
Lithuania,Europe,Europe_sheep,sheep,Meat,399,589,499,952,0,861,771,0
Luxembourg,Europe,Europe_sheep,sheep,Meat,43,63,53,101,0,92,82,0
Malta,Europe,Europe_sheep,sheep,Meat,89,132,112,213,0,193,173,0
Montenegro,Europe,Europe_sheep,sheep,Meat,879,1299,1099,2099,0,1899,1699,0
Netherlands,Europe,Europe_sheep,sheep,Meat,10298,15221,12879,24588,0,22246,19905,0
New Caledonia,Island nation,Other_sheep,sheep,Meat,9,13,11,21,0,19,17,0
New Zealand,New Zealand,New Zealand_sheep,sheep,Meat,310552,459027,388407,741504,0,670885,600265,0
Norway,Europe,Europe_sheep,sheep,Meat,19910,29430,24902,47540,0,43012,38485,0
Poland,Europe,Europe_sheep,sheep,Meat,765,1131,957,1827,0,1653,1479,0
Portugal,Europe,Europe_sheep,sheep,Meat,8456,12499,10576,20190,0,18267,16344,0
Romania,Europe,Europe_sheep,sheep,Meat,57892,85570,72405,138228,0,125064,111899,0
Saint Pierre and Miquelon,Canada,Canada_sheep,sheep,Meat,0,0,0,0,0,0,0,0
Serbia,Europe,Europe_sheep,sheep,Meat,25389,37527,31754,60620,0,54847,49074,0
Slovakia,Europe,Europe_sheep,sheep,Meat,860,1271,1076,2054,0,1858,1663,0
Slovenia,Europe,Europe_sheep,sheep,Meat,1114,1646,1393,2659,0,2405,2152,0
Spain,Europe,Europe_sheep,sheep,Meat,100522,148581,125723,240016,0,217157,194299,0
Sweden,Europe,Europe_sheep,sheep,Meat,4157,6144,5199,9924,0,8979,8034,0
Switzerland,Europe,Europe_sheep,sheep,Meat,4074,6022,5095,9728,0,8801,7875,0
The former Yugoslav Republic of Macedonia,Europe,Europe_sheep,sheep,Meat,4016,5936,5023,9590,0,8676,7763,0
United Kingdom,Europe,Europe_sheep,sheep,Meat,245650,363095,307234,586539,0,530678,474817,0
United States of America,USA,USA_sheep,sheep,Meat,59921,88569,74943,143073,0,129447,115821,0
Albania,Europe,Europe_chicken,chicken,Meat,20952,4167,7872,24541,0,0,0,0
Australia,Australia,Australia_chicken,chicken,Meat,1059532,210741,398066,1241030,0,0,0,0
Austria,Europe,Europe_chicken,chicken,Meat,109500,21780,41139,128257,0,0,0,0
Belgium,Europe,Europe_chicken,chicken,Meat,379933,75569,142741,445016,0,0,0,0
Bermuda,USA,USA_chicken,chicken,Meat,120,24,45,141,0,0,0,0
Bosnia and Herzegovina,Europe,Europe_chicken,chicken,Meat,41549,8264,15610,48666,0,0,0,0
Bulgaria,Europe,Europe_chicken,chicken,Meat,76768,15269,28842,89918,0,0,0,0
Canada,Canada,Canada_chicken,chicken,Meat,1076753,214166,404536,1261201,0,0,0,0
Croatia,Europe,Europe_chicken,chicken,Meat,24800,4933,9317,29048,0,0,0,0
Czechia,Europe,Europe_chicken,chicken,Meat,146308,29101,54968,171371,0,0,0,0
Denmark,Europe,Europe_chicken,chicken,Meat,168268,33469,63218,197092,0,0,0,0
Estonia,Europe,Europe_chicken,chicken,Meat,18118,3604,6807,21222,0,0,0,0
Faroe Islands,Europe,Europe_chicken,chicken,Meat,0,0,0,0,0,0,0,0
Finland,Europe,Europe_chicken,chicken,Meat,103730,20632,38971,121499,0,0,0,0
France,Europe,Europe_chicken,chicken,Meat,1120318,222831,420903,1312228,0,0,0,0
Germany,Europe,Europe_chicken,chicken,Meat,950939,189142,357268,1113835,0,0,0,0
Greece,Europe,Europe_chicken,chicken,Meat,126300,25121,47451,147935,0,0,0,0
Greenland,Europe,Europe_chicken,chicken,Meat,0,0,0,0,0,0,0,0
Hungary,Europe,Europe_chicken,chicken,Meat,244240,48579,91761,286078,0,0,0,0
Iceland,Europe,Europe_chicken,chicken,Meat,7879,1567,2960,9229,0,0,0,0
Ireland,Europe,Europe_chicken,chicken,Meat,89000,17702,33437,104246,0,0,0,0
Italy,Europe,Europe_chicken,chicken,Meat,904914,179987,339976,1059926,0,0,0,0
Latvia,Europe,Europe_chicken,chicken,Meat,26830,5336,10080,31426,0,0,0,0
Lithuania,Europe,Europe_chicken,chicken,Meat,87489,17402,32870,102476,0,0,0,0
Luxembourg,Europe,Europe_chicken,chicken,Meat,244,49,92,286,0,0,0,0
Malta,Europe,Europe_chicken,chicken,Meat,4115,818,1546,4820,0,0,0,0
Montenegro,Europe,Europe_chicken,chicken,Meat,3350,666,1259,3924,0,0,0,0
Netherlands,Europe,Europe_chicken,chicken,Meat,920794,183146,345942,1078526,0,0,0,0
New Caledonia,Island nation,Other_chicken,chicken,Meat,832,165,313,975,0,0,0,0
New Zealand,New Zealand,New Zealand_chicken,chicken,Meat,169078,33630,63523,198041,0,0,0,0
Norway,Europe,Europe_chicken,chicken,Meat,104030,20692,39084,121850,0,0,0,0
Poland,Europe,Europe_chicken,chicken,Meat,1517300,301791,570050,1777213,0,0,0,0
Portugal,Europe,Europe_chicken,chicken,Meat,298253,59323,112054,349344,0,0,0,0
Romania,Europe,Europe_chicken,chicken,Meat,322893,64223,121311,378205,0,0,0,0
Saint Pierre and Miquelon,Canada,Canada_chicken,chicken,Meat,4,1,2,5,0,0,0,0
Serbia,Europe,Europe_chicken,chicken,Meat,95250,18945,35785,111566,0,0,0,0
Slovakia,Europe,Europe_chicken,chicken,Meat,65000,12929,24421,76135,0,0,0,0
Slovenia,Europe,Europe_chicken,chicken,Meat,52611,10464,19766,61623,0,0,0,0
Spain,Europe,Europe_chicken,chicken,Meat,1171695,233050,440206,1372406,0,0,0,0
Sweden,Europe,Europe_chicken,chicken,Meat,117400,23351,44107,137511,0,0,0,0
Switzerland,Europe,Europe_chicken,chicken,Meat,78298,15573,29417,91710,0,0,0,0
The former Yugoslav Republic of Macedonia,Europe,Europe_chicken,chicken,Meat,1801,358,677,2110,0,0,0,0
United Kingdom,Europe,Europe_chicken,chicken,Meat,1443000,287013,542135,1690186,0,0,0,0
United States of America,USA,USA_chicken,chicken,Meat,17396881,3460240,6536008,20376967,0,0,0,0
Albania,Europe,Europe_pig,pig,Meat,13000,10202,5526,16579,2551,2551,3826,425
Australia,Australia,Australia_pig,pig,Meat,360866,283208,153404,460212,70802,70802,106203,11800
Austria,Europe,Europe_pig,pig,Meat,529284,415382,224999,674996,103846,103846,155768,17308
Belgium,Europe,Europe_pig,pig,Meat,1130572,887273,480606,1441818,221818,221818,332727,36970
Bermuda,USA,USA_pig,pig,Meat,72,57,31,92,14,14,21,2
Bosnia and Herzegovina,Europe,Europe_pig,pig,Meat,13013,10213,5532,16595,2553,2553,3830,426
Bulgaria,Europe,Europe_pig,pig,Meat,72905,57216,30992,92976,14304,14304,21456,2384
Canada,Canada,Canada_pig,pig,Meat,1977119,1551643,840473,2521420,387911,387911,581866,64652
Croatia,Europe,Europe_pig,pig,Meat,106500,83581,45273,135819,20895,20895,31343,3483
Czechia,Europe,Europe_pig,pig,Meat,242833,190575,103228,309685,47644,47644,71466,7941
Denmark,Europe,Europe_pig,pig,Meat,1589400,1247361,675654,2026962,311840,311840,467760,51973
Estonia,Europe,Europe_pig,pig,Meat,49488,38838,21037,63112,9710,9710,14564,1618
Faroe Islands,Europe,Europe_pig,pig,Meat,0,0,0,0,0,0,0,0
Finland,Europe,Europe_pig,pig,Meat,194600,152722,82724,248173,38181,38181,57271,6363
France,Europe,Europe_pig,pig,Meat,2120947,1664519,901615,2704844,416130,416130,624195,69355
Germany,Europe,Europe_pig,pig,Meat,5494164,4311820,2335569,7006707,1077955,1077955,1616932,179659
Greece,Europe,Europe_pig,pig,Meat,99750,78284,42404,127211,19571,19571,29356,3262
Greenland,Europe,Europe_pig,pig,Meat,0,0,0,0,0,0,0,0
Hungary,Europe,Europe_pig,pig,Meat,368153,288926,156502,469506,72232,72232,108347,12039
Iceland,Europe,Europe_pig,pig,Meat,6404,5026,2722,8167,1256,1256,1885,209
Ireland,Europe,Europe_pig,pig,Meat,239310,187810,101731,305192,46953,46953,70429,7825
Italy,Europe,Europe_pig,pig,Meat,1625480,1275677,690992,2072975,318919,318919,478379,53153
Latvia,Europe,Europe_pig,pig,Meat,35924,28193,15271,45814,7048,7048,10572,1175
Lithuania,Europe,Europe_pig,pig,Meat,86965,68250,36969,110906,17063,17063,25594,2844
Luxembourg,Europe,Europe_pig,pig,Meat,11121,8728,4728,14183,2182,2182,3273,364
Malta,Europe,Europe_pig,pig,Meat,5920,4646,2517,7550,1162,1162,1742,194
Montenegro,Europe,Europe_pig,pig,Meat,4000,3139,1700,5101,785,785,1177,131
Netherlands,Europe,Europe_pig,pig,Meat,1282330,1006373,545118,1635355,251593,251593,377390,41932
New Caledonia,Island nation,Other_pig,pig,Meat,2670,2095,1135,3405,524,524,786,87
New Zealand,New Zealand,New Zealand_pig,pig,Meat,39455,30964,16772,50317,7741,7741,11612,1290
Norway,Europe,Europe_pig,pig,Meat,127516,100075,54207,162621,25019,25019,37528,4170
Poland,Europe,Europe_pig,pig,Meat,1744900,1369398,741757,2225271,342349,342349,513524,57058
Portugal,Europe,Europe_pig,pig,Meat,345673,271284,146946,440837,67821,67821,101732,11304
Romania,Europe,Europe_pig,pig,Meat,396070,310836,168369,505108,77709,77709,116563,12951
Saint Pierre and Miquelon,Canada,Canada_pig,pig,Meat,2,2,1,3,0,0,1,0
Serbia,Europe,Europe_pig,pig,Meat,249487,195797,106057,318171,48949,48949,73424,8158
Slovakia,Europe,Europe_pig,pig,Meat,64866,50907,27575,82724,12727,12727,19090,2121
Slovenia,Europe,Europe_pig,pig,Meat,29569,23206,12570,37709,5801,5801,8702,967
Spain,Europe,Europe_pig,pig,Meat,3431214,2692817,1458609,4375827,673204,673204,1009806,112201
Sweden,Europe,Europe_pig,pig,Meat,234100,183722,99516,298548,45930,45930,68896,7655
Switzerland,Europe,Europe_pig,pig,Meat,235460,184789,100094,300282,46197,46197,69296,7700
The former Yugoslav Republic of Macedonia,Europe,Europe_pig,pig,Meat,8845,6942,3760,11280,1735,1735,2603,289
United Kingdom,Europe,Europe_pig,pig,Meat,833000,653738,354108,1062325,163435,163435,245152,27239
United States of America,USA,USA_pig,pig,Meat,10509740,8248044,4467690,13403071,2062011,2062011,3093016,343668
Albania,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,67842,17503,93350,175031,163362,58344,40841,0
Australia,Australia,Australia_dairy cow,dairy cow,Dairy & eggs,269546,69543,370895,695429,649067,231810,162267,0
Austria,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,102971,26567,141688,265665,247954,88555,61989,0
Belgium,Europe,Europe_dairy cow,dairy cow,Dairy & eggs,90238,23281,124168,232814,217293,77605,54323,0
